// Process_name; Process_arrival_time; Process_burst_time; Process_priority
P1;0;7;2

// Processus2
P7;4;1;4

// Process_name; Process_arrival_time; Process_burst_time; Process_priority
P4;1;3;4
// Process_name; Process_arrival_time; Process_burst_time; Process_priority
P2;0;4;3
// Process_name; Process_arrival_time; Process_burst_time; Process_priority
P6;2;4;1
// Process_name; Process_arrival_time; Process_burst_time; Process_priority
P3;1;6;1
// Process_name; Process_arrival_time; Process_burst_time; Process_priority
P5;1;2;3
